#label	score
Abl2	NaN
Ptk2	NaN
Pik3r3	NaN
Mink1	NaN
Rps6ka4	NaN
Sgk3	NaN
Rps6ka1	NaN
Ifng	NaN
Rps6ka2	NaN
Rps6ka6	NaN
Sgk2	NaN
Nos1	-0.317982
Sgk1	-0.317982
Rps6ka3	NaN
Sae1	2.0784
Atf7	NaN
Mapk9	NaN
Mapk10	NaN
Atf2	NaN
Mapk8	NaN
Map3k15	NaN
Gadd45a	NaN
Map3k2	NaN
Zak	NaN
Taok1	NaN
Pkn1	NaN
Map3k9	NaN
Mlk4	NaN
Lrrk2	NaN
Ptk2b	NaN
Map3k5	NaN
Tab2	NaN
Tnfrsf1a	NaN
Map3k3	NaN
Taok2	NaN
Fas	-0.317982
Map3k1	NaN
Map3k6	NaN
Taok3	NaN
Faslg	NaN
Map3k14	NaN
Gnb1	NaN
Map3k10	NaN
Map3k4	NaN
Map3k19	NaN
Camk2g	NaN
Jup	NaN
Trim28	6.1428
Camk2a	NaN
Ccnd1	NaN
Ccnd3	NaN
Cdk4	NaN
Ube2i	NaN
Ccnd2	NaN
Zfpm1	NaN
Ep300	NaN
Gata3	NaN
Gata2	NaN
Crebbp	-0.317982
Stat3	-0.317982
Myb	NaN
Spi1	NaN
Socs1	NaN
Braf	NaN
Tek	NaN
Map2k6	NaN
Dusp2	NaN
Ksr2	NaN
Map2k4	NaN
Gnao1	-0.317982
Tie1	NaN
Dusp8	NaN
Dusp1	NaN
Dusp10	NaN
Raf1	NaN
Gnai1	NaN
Map2k1	NaN
Gnai3	NaN
Gnaz	NaN
Rala	NaN
Map2k2	NaN
Dusp6	NaN
Araf	NaN
Map2k3	NaN
Ralb	NaN
Map2k5	NaN
Dusp4	NaN
Ksr1	NaN
Dusp7	NaN
Cbl	NaN
Cblb	NaN
Ghr	NaN
Tns3	NaN
Fgfr1	NaN
Insr	NaN
Ret	NaN
Pxn	NaN
Esr1	NaN
Matk	NaN
Flt4	NaN
Flt1	NaN
Igf1r	NaN
Tec	NaN
Vcl	-4.3382
Tgfb1i1	NaN
Gab2	NaN
Pdgfra	NaN
Gab1	NaN
Syk	NaN
Csk	2.7018
Egf	NaN
Itgb1	2.5706
Zap70	NaN
Nr3c1	-0.317982
Lpxn	NaN
Ccnb1	NaN
Ccnb2	NaN
Il2	NaN
Jak3	NaN
Il2rb	NaN
Grb2	NaN
Nfkb2	-0.317982
Nfkbia	NaN
Nfkb1	NaN
Tnf	NaN
Eef2k	-0.317982
Rhob	NaN
Rhoa	-2.7763
Iqgap1	NaN
Rhoc	NaN
Cyfip2	NaN
Nckap1	-0.317982
Xbp1	-0.317982
Hdac3	NaN
Hnf4a	NaN
Foxa2	-0.317982
Birc2	NaN
Ngfr	NaN
Birc3	NaN
Xiap	NaN
Mcat	NaN
Mcl1	NaN
Bcl2l1	-0.317982
Pou5f1	-0.317982
Bax	NaN
Bcl2	-0.317982
Bid	NaN
Foxm1	NaN
Hsf1	NaN
Gli1	NaN
Sema3a	NaN
Fgf2	NaN
Cry1	NaN
Pak6	NaN
Pak4	NaN
Pak5	NaN
Efna1	NaN
Rock1	-0.317982
Jund	NaN
Egr1	NaN
Mtor	NaN
Notch1	NaN
Bcr	NaN
Fos	NaN
Rock2	NaN
Cd79a	NaN
Pten	NaN
Abr	NaN
Snai1	NaN
Jun	-0.317982
Park7	NaN
Nup50	NaN
Nup98	NaN
Seh1l	NaN
Nup155	NaN
Rae1	NaN
Nup133	NaN
Nup214	NaN
Nup54	NaN
Pom121	NaN
Nup88	NaN
Nup93	NaN
Nup37	NaN
Nup43	NaN
Nup188	NaN
Nup107	NaN
Nup210	-0.317982
Nup85	NaN
Tpr	5.8803
Nup58	NaN
Nup160	NaN
Nupl2	NaN
Aaas	NaN
Ppargc1a	NaN
Myod1	NaN
Bmp4	NaN
Fgr	NaN
Ephb2	NaN
Epha3	NaN
Epha4	NaN
Epha1	NaN
Ephb1	NaN
Blk	NaN
Epha6	NaN
Ephb3	NaN
Epha5	NaN
Epha2	NaN
Epha7	NaN
Ppp3ca	NaN
Fn1	12.2784
Ets1	NaN
Pdgfb	NaN
Mapk7	NaN
Smarca4	NaN
Mapk13	-0.317982
Med1	-0.317982
Esr2	NaN
Mapk12	NaN
Smarca2	NaN
Ncoa2	NaN
Src	-0.317982
Kdr	NaN
Vegfa	NaN
Lck	NaN
Pdgfrb	NaN
Yes1	NaN
Hck	NaN
Fyn	-0.317982
Lyn	NaN
Mapk1	NaN
Mapk3	NaN
Arnt	NaN
Atf4	NaN
Stat1	-0.9248
Kitlg	NaN
Kit	NaN
Cdca8	NaN
Impdh1	NaN
Mlx	NaN
Prkag2	NaN
Prkab2	NaN
Prkag3	NaN
Prkab1	1.7363
Sp1	-0.317982
Prkag1	NaN
Impdh2	NaN
Mlxipl	NaN
P4hb	NaN
Apoc3	NaN
Adipoq	NaN
Sar1b	NaN
Apoc2	NaN
Ldlrap1	NaN
Apoa5	-0.317982
Mttp	NaN
Lipc	NaN
Tp53	-0.317982
Hsp90ab1	NaN
Hsp90aa1	NaN
Ranbp2	NaN
Ranbp1	5.0216
Nup62	NaN
Mapk14	NaN
Mapk11	NaN
Rb1	NaN
Met	-0.317982
Spry2	NaN
Rgs4	NaN
Ptpn11	NaN
Akt2	NaN
Akt1	NaN
Rgs1	NaN
Rgs16	NaN
Rho	NaN
Rgs6	NaN
Rgs10	NaN
Ednrb	NaN
Rgs19	NaN
Rgs18	NaN
Agtr2	NaN
F2r	NaN
Akt3	NaN
Lpar1	NaN
F2	-0.2985
Rgs14	NaN
Rgs2	NaN
Rgs7	NaN
Cxcl12	NaN
Cxcr4	NaN
Dvl1	NaN
Dvl2	NaN
Tff1	NaN
Insrr	NaN
Skp1	NaN
Dvl3	NaN
Ctnnb1	NaN
Rhoq	NaN
Rab13	NaN
Rab8a	NaN
Rab10	NaN
Gna14	NaN
Gna11	NaN
Gnaq	NaN
Gng2	NaN
Tgm2	5.1916
Nck1	NaN
Nck2	NaN
Slc9a3r1	2.8181
Cyld	NaN
Agt	-0.317982
Casp8	NaN
Map3k7	NaN
Tradd	NaN
Rac3	NaN
Map4k2	NaN
Hras	NaN
Traf6	-0.317982
Map4k4	NaN
Cdc42	2.6207
Pak1	NaN
Map4k5	NaN
Map4k1	NaN
Pak3	NaN
Rac2	NaN
Pak2	NaN
Map4k3	NaN
Fadd	NaN
Traf2	NaN
Kras	NaN
Ripk1	NaN
Tlr4	-0.317982
Casp2	-0.317982
Nras	-0.317982
Jak2	NaN
Jak1	NaN
Tyk2	NaN
Rac1	NaN
Smad5	NaN
Smad1	NaN
Rps6kb2	NaN
Smad2	-0.317982
Rps6kb1	NaN
Smad3	NaN
Smad4	NaN
Smad9	NaN
Plk1	-0.317982
Gna15	NaN
Gna12	NaN
Ilk	NaN
Fancd2	NaN
Fanci	NaN
Cdk1	NaN
Cdkn1a	NaN
Cdk2	NaN
Cdkn1b	NaN
Arf6	NaN
Gna13	NaN
Rars	NaN
#total score	548.219
